TEMSEID (Not found...)|MANDANT (Queue client)|CREDATE (Queue creation date)|CRETIME (Queue creation time)|GROUPID (Group name: Batch input session name)|QID (Queue identification (unique key))|CREATOR (Queue user ID / for historical reasons)|DESTSYS (Queue target system)|STATUS (Queue status)
BDCLG570408000924895|800|20040502|101810|RPTPBSR01017|04050210175704080009|I019507|iwdf9431|R
BDCLG570512000138535|625|20010725|61006|IR21 0608|01072506085705120001|HOF|pswdf025|R
BDCLG570888001015932|800|20011218|155506|RABUCH JA 07|01121815545708880010|OLBERT|pswdf025|R
BDCLG570888003352947|800|20011218|172010|RABUCH3000-6|01121817195708880033|OLBERT|pswdf025|R
BDCLG574803970828162|400|20001122|135804|REKOWS135748|20001122135748039708|REKOWSKIC|pswdf025|R
BDCLG575920030539918|800|20111115|43612|C51636043558|11111504355759200305|C5163677|id3tdc00|R
BDCLG576112251908439|809|20090430|141507|MFC_DEMO_KS0|09043014145761122519|D030206|id3tdc00|R
BDCLG578196937817045|800|20111115|14717|C51636014658|11111501465781969378|C5163677|id3tdc00|R
BDCLG578196937880353|800|20111115|14729|C51636014658|11111501465781969378|C5163677|id3tdc00|R
BDCLG578196938337902|800|20111115|44514|C51636044458|11111504445781969383|C5163677|id3tdc00|R
BDCLG578964773308772|800|20111115|2351|C51636002058|11111500205789647733|C5163677|id3tdc00|R
BDCLG579656363126792|800|20111228|151508|C5165216|11122815135796563631|C5165216|id3tdc00|R
BDCLG581002000177352|625|20010730|42615|AWS-00 0425|01073004255810020001|HOF|pswdf025|R
BDCLG581529000496180|513|20010506|70158|GCERTS|01050607015815290004|BEWLEYL|pswdf025|R
BDCLG582712000124406|800|20050225|175227|PD|05022517515827120001|MIC1|iwdf9431|R
BDCLG583648088694742|800|20060301|101019|PD|06030110095836480886|BASKARANS|id3tdc00|R
BDCLG584522000586903|800|20020503|180025|FACCALSPEC|02050317595845220005|MICHALSKY|pswdf025|R
BDCLG584604160320022|800|20000726|165900|VVI_MW_CHNG3|20000726165846041603|SMAGOWICZ|pswdf025|R
BDCLG585308973452556|800|20111122|52307|IT2002|11112205225853089734|C5140081|id3tdc00|R
BDCLG586704338850135|800|20120202|40811|COSTCENTRES3|12020204075867043388|C5165216|id3tdc00|R
BDCLG587292875414145|800|20111122|51806|IT2002|11112205175872928754|C5140081|id3tdc00|R
BDCLG587924548975064|800|20111019|70314|IT0015|11101907025879245489|C5140081|id3tdc00|R
BDCLG587984306616881|800|20120202|43005|COSTCENTRES3|12020204295879843066|C5165216|id3tdc00|R
BDCLG587984306636810|800|20120202|43432|COSTCENTRES3|12020204295879843066|C5165216|id3tdc00|R
BDCLG587984306675544|800|20120202|43224|COSTCENTRES3|12020204295879843066|C5165216|id3tdc00|R
BDCLG588636789633733|800|20120209|121005|COSTCENTRES3|12020912095886367896|C5165216|id3tdc00|R
BDCLG588636789691494|800|20120209|121648|COSTCENTRES3|12020912095886367896|C5165216|id3tdc00|R
BDCLG588784569967731|800|20120202|61605|COSTCENTRES3|12020206155887845699|C5165216|id3tdc00|R
BDCLG588924131946193|800|20111114|230518|C51636230458|11111423045889241319|C5163677|id3tdc00|R
BDCLG590644776376440|800|20111019|72822|IT0267|11101907275906447763|C5140081|id3tdc00|R
BDCLG590696000129968|800|20020819|94027|PTABI_SAP|02081909395906960001|PTABI_SAP|iwdfim01|R
BDCLG590717000803842|625|20010712|64625|FELICE1 0645|01071206455907170008|HOF|pswdf025|R
BDCLG591772696409338|800|20111108|213322|KDS1001B007|11110821325917726964|C5115457|id3tdc00|R
