TEMSEID (Not found...)|MANDANT (Queue client)|CREDATE (Queue creation date)|CRETIME (Queue creation time)|GROUPID (Group name: Batch input session name)|QID (Queue identification (unique key))|CREATOR (Queue user ID / for historical reasons)|DESTSYS (Queue target system)|STATUS (Queue status)
BDCLG154064000168212|800|20021105|70243|C5032917|02110507021540640001|C5032917|iwdfim01|R
BDCLG154452630813155|800|20050512|165308|PD|05051216471544526308|GWOSDZIK|iwdf9431|R
BDCLG154452630884598|800|20050512|165448|PD|05051216471544526308|GWOSDZIK|iwdf9431|R
BDCLG155920031184952|800|20111118|347|PA30_2|11111800031559200311|PITTEN|id3tdc00|R
BDCLG156588000173815|506|20040928|93829|BERETTONI|04092809381565880001|BERETTONI|iwdf9431|R
BDCLG158196938221578|800|20111115|41534|C51636041516|11111504151581969382|C5163677|id3tdc00|R
BDCLG160888003414463|800|20011218|172324|RABUCH3000-7|01121817231608880034|OLBERT|pswdf025|R
BDCLG161572415067476|800|20080902|212219|PD|08090221211615724150|IROBB|id3tdc00|R
BDCLG161728000191440|800|20030411|120145|RASKBU|03041112011617280001|THIBAULT|iwdfim01|R
BDCLG161732000519900|800|20040429|151144|4700/1000|04042915091617320005|WALTHERK|iwdf9431|R
BDCLG161904953475881|800|20111228|174046|C5165216|11122817401619049534|C5165216|id3tdc00|R
BDCLG163116000102218|800|20030601|123225|RPCSVWD0|03060112281631160001|REICHERTMAR|iwdfim01|R
BDCLG163116000110331|800|20030601|123129|RPCSVWD0|03060112281631160001|REICHERTMAR|iwdfim01|R
BDCLG166052441214160|800|20110909|135745|RPTSHF00|11090913551660524412|WEISSANJA|id3tdc00|R
BDCLG167104001087504|800|20021101|54940|C5032917|02110105381671040010|C5032917|iwdfim01|R
BDCLG168196937936451|800|20111115|20507|C51636020417|11111502041681969379|C5163677|id3tdc00|R
BDCLG168283001107945|513|20010215|21918|GCERTS|01021502191682830011|BEWLEYL|pswdf025|R
BDCLG168320768413329|800|20111230|101424|IT2007|11123010141683207684|C5140081|id3tdc00|R
BDCLG168924131613978|800|20111114|222112|C51636222017|11111422201689241316|C5163677|id3tdc00|R
BDCLG170216348990547|800|20060306|63648|PD|06030606361702163489|BASKARANS|id3tdc00|R
BDCLG170441000189023|625|20010730|34521|AWS 0341|01073003411704410001|HOF|pswdf025|R
BDCLG170616070276745|800|20000426|91722|RABUCH1199|20000426091706160702|KUERSTEN|pswdf025|R
BDCLG170848921792258|800|20111107|234628|KDS1001B007|11110723461708489217|C5115457|id3tdc00|R
BDCLG171011000125923|800|20011212|171436|RABUCH07/01|01121217141710110001|OLBERT|pswdf025|R
BDCLG173092367667706|800|20110909|135150|RPTSHF00|11090913511730923676|WEISSANJA|id3tdc00|R
BDCLG174006850584745|800|20010104|101848|RABUCH|20010104101740068505|OLBERT|pswdf025|R
BDCLG176988798978248|800|20071015|110005|RPTQTA00|07101510591769887989|I045713|id3tdc00|R
BDCLG177648298401084|800|20100709|123224|IT8|10070912321776482984|C5140081|id3tdc00|R
BDCLG177984306729818|800|20120202|61523|PFRTCTRS3|12020206151779843067|C5165216|id3tdc00|R
BDCLG180697000351481|800|20010110|91049|RPIAVAD0|01011009101806970003|HENEKA|pswdf025|R
BDCLG180888002381039|800|20011218|162627|RABUCH8F100|01121816261808880023|OLBERT|pswdf025|R
BDCLG180907000303518|800|20011212|155952|RABUCH03/01|01121215591809070003|OLBERT|pswdf025|R
BDCLG181285000707021|800|20020111|125730|JOSWIGT|02011112571812850007|JOSWIGT|pswdf025|R
BDCLG181572661410239|800|20101110|183554|RPTQTA00|10111018331815726614|WEISSANJA|id3tdc00|R
BDCLG182536000206247|800|20030130|170505|SAPF180/1000|03013017011825360002|PITZ|iwdfim01|R
BDCLG182536000262356|800|20030130|170220|SAPF180/1000|03013017011825360002|PITZ|iwdfim01|R
BDCLG184960880245260|800|20090423|191849|IT2011|09042319171849608802|WEISSANJA|id3tdc00|R
BDCLG185308973694633|800|20111122|80027|IT2002|11112208001853089736|C5140081|id3tdc00|R
BDCLG190184000520062|800|20020111|150129|JOSWIGT|02011115011901840005|JOSWIGT|pswdf025|R
BDCLG190629000211409|800|20020412|153740|BONIN|02041215371906290002|BONIN|pswdf025|R
BDCLG191063000265247|400|20020118|150759|RPIJSTD0|02011815071910630002|PILCHW|pswdf025|R
BDCLG191772696378583|800|20111108|203632|KDS1001B007|11110820361917726963|C5115457|id3tdc00|R
BDCLG192124293330053|800|20111114|231849|C51636231819|11111423181921242933|C5163677|id3tdc00|R
BDCLG193604040330546|800|20001010|152004|CREATE_IT_5|20001010151936040403|BONIN|pswdf025|R
BDCLG193640174639420|800|20051220|144516|WE/RE 2005|05122013071936401746|ZECHA|id3tdc00|R
BDCLG198232402278382|800|20111115|14340|C51636014319|11111501431982324022|C5163677|id3tdc00|R
BDCLG200625000168558|400|20020315|162350|A/P_ACCOUNTS|02031516232006250001|KNEIFEL|pswdf025|R
BDCLG200642000203303|514|20010806|53156|RPIADVL00531|01080605312006420002|MASTER|pswdf025|R
BDCLG200717000229996|625|20010710|54652|AWS 0546|01071005462007170002|HOF|pswdf025|R
BDCLG201812641655903|800|20080919|154657|PA712006|08091915462018126416|BONIN|id3tdc00|R
BDCLG202306851661730|800|20010105|132042|RABUCH05JAP|20010105132023068516|OLBERT|pswdf025|R
BDCLG203720010088812|800|20060920|112035|FLOC1|06092011202037200100|I035497|id3tdc00|R
BDCLG204060787871558|800|20050513|112034|PD_1001|05051311202040607878|I026275|iwdf9431|R
BDCLG205544313657918|800|20091201|143437|RPTSHF00|09120114342055443136|WEISSANJA|id3tdc00|R
BDCLG205920030601748|800|20111115|45434|C51636045421|11111504542059200306|C5163677|id3tdc00|R
BDCLG208196937783916|800|20111115|3516|C51636003421|11111500342081969377|C5163677|id3tdc00|R
BDCLG210888001483209|800|20011218|155837|RABUCH JA 11|01121815582108880014|OLBERT|pswdf025|R
BDCLG210888001771941|800|20011218|162029|RABUCH2F100|01121816202108880017|OLBERT|pswdf025|R
BDCLG212706850110896|800|20010103|152147|RABUCH|20010103152127068501|OLBERT|pswdf025|R
BDCLG212944000103774|800|20031119|141127|A/P_ACCOUNTS|03111914092129440001|KNEIFFEL|iwdfim01|R
BDCLG212944000106016|800|20031119|140946|A/P_ACCOUNTS|03111914092129440001|KNEIFFEL|iwdfim01|R
BDCLG215268765609952|800|20111114|230913|C51636230821|11111423082152687656|C5163677|id3tdc00|R
BDCLG215268765629959|800|20111114|230848|C51636230821|11111423082152687656|C5163677|id3tdc00|R
BDCLG215544313832381|800|20091201|143816|RPTSHF00|09120114352155443138|WEISSANJA|id3tdc00|R
BDCLG220072000486065|507|20041223|202101|RPTSHF00|04122320192200720004|POWERT|iwdf9431|R
BDCLG220907000754208|800|20011213|103642|RABUCH08/01|01121310362209070007|OLBERT|pswdf025|R
BDCLG221904470118535|512|20001027|102254|ZTESTLBO|20001027102219044701|BOODTSL|pswdf025|R
BDCLG222492873502980|800|20060920|111432|FLOC1|06092011132224928735|I035497|id3tdc00|R
BDCLG222492873523179|800|20060920|111346|FLOC1|06092011132224928735|I035497|id3tdc00|R
BDCLG222492873571458|800|20060920|112443|FLOC1|06092011132224928735|I035497|id3tdc00|R
BDCLG222536000116330|800|20030130|163500|SAPF181|03013016342225360001|PITZ|iwdfim01|R
BDCLG223012771924198|800|20091130|123241|TEST|09113011562230127719|WALTHERK|id3tdc00|R
BDCLG223444260510116|625|20050705|131358|NAM     1256|05070512562234442605|HOF|iwdf9431|R
BDCLG224435000127543|513|20020502|23228|GCERTS|02050202322244350001|BEWLEYL|pswdf025|R
BDCLG225206851751174|800|20010105|132309|RABUCH06JAP|20010105132252068517|OLBERT|pswdf025|R
BDCLG228283000982723|513|20010214|33023|GCERTS|01021403302282830009|BEWLEYL|pswdf025|R
BDCLG228596212096587|800|20111115|42241|C51636042223|11111504222285962120|C5163677|id3tdc00|R
BDCLG230369000129455|503|20010823|165057|A/P_ACCOUNTS|01082316422303690001|ZOECHLING|pswdf025|R
BDCLG230540000166121|800|20040519|43505|RPTSHF00|04051904342305400001|I014498|iwdf9431|R
BDCLG230820000894375|800|20050111|113627|SAPF181|05011111352308200008|WALTHERK|iwdf9431|R
BDCLG230907000438818|800|20011212|161652|RABUCH04/01|01121216162309070004|OLBERT|pswdf025|R
BDCLG232592000270858|800|20040512|105939|RPTSHF00|04051210592325920002|I014498|iwdf9431|R
BDCLG232628000132385|800|20040502|93349|RPTPBSR00933|04050209332326280001|I019507|iwdf9431|R
BDCLG233472873120867|800|20050511|141238|PA_0000|05051114122334728731|I026275|iwdf9431|R
BDCLG234068427122060|800|20080115|153950|IT2011|08011515392340684271|WEISSANJA|id3tdc00|R
BDCLG234506700222110|512|20001019|152417|ZTESTLBO|20001019152345067002|BOODTSL|pswdf025|R
BDCLG235132000303091|800|20030627|204523|IV10000|03062720452351320003|LINDHOLM|iwdfim01|R
BDCLG235132000334774|800|20030627|232931|IV10000|03062720452351320003|LINDHOLM|iwdfim01|R
BDCLG235132000362667|800|20030627|212426|IV10000|03062720452351320003|LINDHOLM|iwdfim01|R
BDCLG235132000384830|800|20030627|220046|IV10000|03062720452351320003|LINDHOLM|iwdfim01|R
BDCLG235132000386017|800|20030627|231358|IV10000|03062720452351320003|LINDHOLM|iwdfim01|R
BDCLG238020000121723|800|20040730|153147|CAAU_COA|04073015252380200001|I021815|iwdf9431|R
BDCLG238020000187314|800|20040730|153315|CAAU_COA|04073015252380200001|I021815|iwdf9431|R
BDCLG238020000192938|800|20040730|152608|CAAU_COA|04073015252380200001|I021815|iwdf9431|R
BDCLG238232403017765|800|20111116|203133|KDS1001B007|11111620312382324030|C5115457|id3tdc00|R
BDCLG240184000970170|800|20020111|153333|JOSWIGT|02011115332401840009|JOSWIGT|pswdf025|R
BDCLG240306850814068|800|20010104|172421|RABUCH|20010104172403068508|OLBERT|pswdf025|R
BDCLG240604040426137|800|20001010|152427|CREATE_IT_5|20001010152406040404|BONIN|pswdf025|R
BDCLG240717001230507|625|20010712|65900|FELICE1 0658|01071206582407170012|HOF|pswdf025|R
BDCLG240888000370202|800|20011218|152012|RABUCH12/01|01121815192408880003|OLBERT|pswdf025|R
BDCLG240932000300115|800|20020109|181640|A/P_ACCOUNTS|02010918162409320003|JOSWIGT|pswdf025|R
BDCLG241153000183732|625|20010717|80644|NRS|01071708052411530001|HOF|pswdf025|R
BDCLG241220286584316|800|20111108|201539|KDS1001B007|11110820152412202865|C5115457|id3tdc00|R
BDCLG244307720161475|512|20001018|142621|ZTESTLBO01|20001018142443077201|BOODTSL|pswdf025|R
BDCLG245024000230620|800|20030320|183340|PIERCE|03032018332450240002|PIERCE|iwdfim01|R
BDCLG245380414618110|800|20120201|112839|PFRTCTRS3|12020111282453804146|C5165216|id3tdc00|R
BDCLG246592215183708|800|20091120|124125|RPTQTA00|09112012362465922151|WEISSANJA|id3tdc00|R
BDCLG247648298151503|800|20100708|124532|IT8|10070812452476482981|C5140081|id3tdc00|R
BDCLG248196938132181|800|20111115|23622|C51636023325|11111502332481969381|C5163677|id3tdc00|R
BDCLG250888002847248|800|20011218|163543|RABUCH3000-1|01121816352508880028|OLBERT|pswdf025|R
BDCLG253332000192595|800|20021025|181237|DELORD|02102518122533320001|MICHALSKY|iwdfim01|R
BDCLG253632000129391|800|20040527|104633|ZID_13THSAL|04052710362536320001|I019208|iwdf9431|R
BDCLG254452630909112|800|20050513|102605|PD_1000|05051310252544526309|I026275|iwdf9431|R
BDCLG255132000421159|800|20030627|231357|IV10000|03062721242551320004|LINDHOLM|iwdfim01|R
BDCLG255132000465822|800|20030627|212426|IV10000|03062721242551320004|LINDHOLM|iwdfim01|R
BDCLG255132000475620|800|20030627|220046|IV10000|03062721242551320004|LINDHOLM|iwdfim01|R
BDCLG255132000477839|800|20030627|232931|IV10000|03062721242551320004|LINDHOLM|iwdfim01|R
BDCLG260184000187693|800|20020111|124656|JOSWIGT|02011112462601840001|JOSWIGT|pswdf025|R
BDCLG260441000214362|625|20010730|54500|FAP-00  0541|01073005412604410002|HOF|pswdf025|R
BDCLG260596000153370|532|20020711|436|RPTSHF00|02071100032605960001|MALDONADO|pswdf025|R
BDCLG260831000168801|800|20020412|180751|BONIN|02041218072608310001|BONIN|pswdf025|R
BDCLG261415000128798|503|20010905|144327|RPTSHF00|01090514422614150001|HUBNER|pswdf025|R
BDCLG261529000512300|513|20010506|90127|GCERTS|01050609012615290005|BEWLEYL|pswdf025|R
BDCLG262192000158044|800|20021206|222036|VSWMR3|02120621312621920001|MICHALSKY|iwdfim01|R
BDCLG262192000167362|800|20021206|221703|VSWMR3|02120621312621920001|MICHALSKY|iwdfim01|R
BDCLG262192000192481|800|20021206|220715|VSWMR3|02120621312621920001|MICHALSKY|iwdfim01|R
BDCLG262192000204709|800|20021206|222919|VSWMR3|02120621312621920002|MICHALSKY|iwdfim01|R
BDCLG262192000227625|800|20021206|221803|VSWMR3|02120621312621920002|MICHALSKY|iwdfim01|R
BDCLG262192000267561|800|20021206|220715|VSWMR3|02120621312621920002|MICHALSKY|iwdfim01|R
BDCLG262192000290212|800|20021206|223219|VSWMR3|02120621312621920002|MICHALSKY|iwdfim01|R
BDCLG265132000194760|800|20030627|193729|IV10000|03062719372651320001|LINDHOLM|iwdfim01|R
BDCLG268232402391206|800|20111115|41745|C51636041727|11111504172682324023|C5163677|id3tdc00|R
BDCLG268964773432737|800|20111115|21907|C51636021726|11111502172689647734|C5163677|id3tdc00|R
BDCLG268964773434425|800|20111115|22027|C51636021726|11111502172689647734|C5163677|id3tdc00|R
BDCLG270106851887288|800|20010105|132714|RABUCH07JAP|20010105132701068518|OLBERT|pswdf025|R
BDCLG270491000284390|502|20010111|133950|RPTLEA30|01011113392704910002|BROGHAMMER|pswdf025|R
BDCLG270888001904112|800|20011218|162219|RABUCH4F100|01121816212708880019|OLBERT|pswdf025|R
BDCLG270888001937569|800|20011218|162136|RABUCH4F100|01121816212708880019|OLBERT|pswdf025|R
BDCLG270888002588755|800|20011218|162737|RABUCH10F100|01121816272708880025|OLBERT|pswdf025|R
BDCLG270888002962509|800|20011218|164133|RABUCH3000-2|01121816412708880029|OLBERT|pswdf025|R
BDCLG270932000487170|800|20020111|110549|A/P_ACCOUNTS|02011111052709320004|JOSWIGT|pswdf025|R
BDCLG272192000312601|800|20021206|223850|VSWMR3|02120621312721920003|MICHALSKY|iwdfim01|W
BDCLG272192000319106|800|20021206|220401|VSWMR3|02120621312721920003|MICHALSKY|iwdfim01|R
BDCLG272192000345591|800|20021206|225413|VSWMR3|02120621312721920003|MICHALSKY|iwdfim01|R
BDCLG272192000369060|800|20021206|222919|VSWMR3|02120621312721920003|MICHALSKY|iwdfim01|R
BDCLG272192000387070|800|20021206|222402|VSWMR3|02120621312721920003|MICHALSKY|iwdfim01|R
BDCLG272192000391587|800|20021206|220120|VSWMR3|02120621312721920003|MICHALSKY|iwdfim01|R
BDCLG275000187287689|800|20090422|182444|IT2011|09042218212750001872|WEISSANJA|id3tdc00|R
BDCLG275268766437992|800|20111117|215109|PA30|11111717362752687664|PITTEN|id3tdc00|R
BDCLG275776190933503|800|20090324|111137|IPD|09032411112757761909|I044129|id3tdc00|R
BDCLG276840081642139|800|20071010|160923|RPUTXUK0|07101016082768400816|MACINTOSH|id3tdc00|R
BDCLG280983000339642|800|20020614|141119|RPUNTUK0|02061414102809830003|ZHAI|pswdf025|W
BDCLG285206620113797|800|20001222|162928|RPIAVAD0|20001222162852066201|HENEKA|pswdf025|R
BDCLG286112252064490|809|20090430|142235|MFC_DEMO_KS0|09043014222861122520|D030206|id3tdc00|R
BDCLG288844825017256|800|20111019|73041|IT0267|11101907302888448250|C5140081|id3tdc00|R
BDCLG290184001253140|800|20020111|154438|JOSWIGT|02011115442901840012|JOSWIGT|pswdf025|R
BDCLG290846000521680|625|20010712|71419|FELICE1 0705|01071207052908460005|HOF|pswdf025|R
BDCLG290888000623237|800|20011218|155149|RABUCH|01121815512908880006|OLBERT|pswdf025|R
BDCLG290888000890693|800|20011218|155341|RABUCH JA 05|01121815532908880008|OLBERT|pswdf025|R
BDCLG290888001687867|800|20011218|161947|RABUCH1F100|01121816192908880016|OLBERT|pswdf025|R
BDCLG291303970360312|400|20001122|133329|REKOWS132913|20001122132913039703|REKOWSKIC|pswdf025|R
BDCLG291852364135560|800|20050511|154129|PA_0000|05051115282918523641|I026275|iwdf9431|R
BDCLG291852364155517|800|20050511|152852|PA_0000|05051115282918523641|I026275|iwdf9431|R
BDCLG291852364185500|800|20050511|154254|PA_0000|05051115282918523641|I026275|iwdf9431|R
BDCLG291852364189891|800|20050511|154510|PA_0000|05051115282918523641|I026275|iwdf9431|R
BDCLG292016070333240|800|20000426|92939|RABUCH1299|20000426092920160703|KUERSTEN|pswdf025|R
BDCLG292192000421556|800|20021206|225625|VSWMR3|02120621312921920004|MICHALSKY|iwdfim01|R
BDCLG292192000436961|800|20021206|222919|VSWMR3|02120621312921920004|MICHALSKY|iwdfim01|R
BDCLG292192000441723|800|20021206|220120|VSWMR3|02120621312921920004|MICHALSKY|iwdfim01|R
BDCLG292192000468979|800|20021206|222302|VSWMR3|02120621312921920004|MICHALSKY|iwdfim01|R
BDCLG292192000477688|800|20021206|220401|VSWMR3|02120621312921920004|MICHALSKY|iwdfim01|R
BDCLG292480472438158|800|20111018|115001|IT0014|11101811452924804724|C5140081|id3tdc00|R
BDCLG294336240915564|800|20111114|201904|C51154201829|11111420182943362409|C5115457|id3tdc00|R
BDCLG294801770142533|502|20000813|123026|A/P_ACCOUNTS|20000813122948017701|BROGHAMMER|pswdf025|R
BDCLG296848933765991|800|20071213|110829|RFUMSV00|07121311082968489337|D037397|id3tdc00|R
BDCLG297648298397857|800|20100709|71536|IT8|10070907152976482983|C5140081|id3tdc00|R
BDCLG298964773830645|800|20111116|201812|C51154201729|11111620172989647738|C5115457|id3tdc00|R
BDCLG298964773840293|800|20111116|201747|C51154201729|11111620172989647738|C5115457|id3tdc00|R
BDCLG298964773856813|800|20111116|201835|C51154201729|11111620172989647738|C5115457|id3tdc00|R
BDCLG300888003813037|800|20011219|163444|RABUCH300011|01121916343008880038|OLBERT|pswdf025|R
BDCLG301085000660750|625|20010710|200600|AWS 2005|01071020053010850006|HOF|pswdf025|R
BDCLG302124293935124|800|20111115|20634|C51636020431|11111502043021242939|C5163677|id3tdc00|R
BDCLG302192000518632|800|20021206|222919|VSWMR3|02120621313021920005|MICHALSKY|iwdfim01|R
BDCLG302192000522385|800|20021206|225732|VSWMR3|02120621313021920005|MICHALSKY|iwdfim01|R
BDCLG302192000530558|800|20021206|225612|VSWMR3|02120621313021920005|MICHALSKY|iwdfim01|R
BDCLG302192000576994|800|20021206|220120|VSWMR3|02120621313021920005|MICHALSKY|iwdfim01|R
BDCLG302192000582271|800|20021206|220401|VSWMR3|02120621313021920005|MICHALSKY|iwdfim01|R
BDCLG302192000582983|800|20021206|220715|VSWMR3|02120621313021920005|MICHALSKY|iwdfim01|R
BDCLG302628000252231|800|20040502|101508|RPTSHF00|04050210103026280002|I019507|iwdf9431|R
BDCLG303108000100990|800|20040507|54859|AWS 0542|04050705423031080001|I019507|iwdf9431|R
BDCLG305132000655120|800|20030627|232931|IV10000|03062723293051320006|LINDHOLM|iwdfim01|R
BDCLG305648728112121|800|20090422|113336|IT2011|09042211323056487281|WEISSANJA|id3tdc00|R
BDCLG306136743816945|800|20090815|14821|RPTSHF00|09081501473061367438|PITTEN|id3tdc00|R
BDCLG308232402479934|800|20111115|43906|C51636043831|11111504383082324024|C5163677|id3tdc00|R
BDCLG310580234772527|800|20060227|120004|RPTSHF00|06022711593105802347|BONIN|id3tdc00|W
BDCLG310807000289605|800|20020614|142654|RPUNTUK0|02061414263108070002|ZHAI|pswdf025|R
BDCLG310888003192431|800|20011218|170458|RABUCH3000-4|01121817033108880031|OLBERT|pswdf025|R
BDCLG310907000882392|800|20011213|105153|RABUCH09/01|01121310513109070008|OLBERT|pswdf025|R
BDCLG311063000115098|400|20020118|144522|PILCHW|02011814443110630001|PILCHW|pswdf025|R
BDCLG312736000211935|501|20040422|153030|PK_LOBT1998|04042215243127360002|PK-EXPERTE|iwdf9431|R
BDCLG313706850992182|800|20010104|173147|RABUCH|20010104173137068509|OLBERT|pswdf025|R
BDCLG314396000103979|800|20040621|74351|I020419|04062107433143960001|I020419|iwdf9431|R
BDCLG314447000160016|800|20020429|150753|JOSWIGT|02042915073144470001|JOSWIGT|pswdf025|R
BDCLG314522000496901|800|20020503|175849|FACCALSPEC|02050317583145220004|MICHALSKY|pswdf025|R
BDCLG316452644084978|800|20100709|122539|IT8|10070912253164526440|C5140081|id3tdc00|R
BDCLG318176000163176|800|20021111|180824|ZPUMPR3JOBS|02111118003181760001|MICHALSKY|iwdfim01|R
BDCLG318176000219670|800|20021111|180118|ZPUMPR3JOBS|02111118003181760002|MICHALSKY|iwdfim01|R
BDCLG318176000249593|800|20021111|180317|ZPUMPR3JOBS|02111118003181760002|MICHALSKY|iwdfim01|R
BDCLG318196937643040|800|20111115|2658|C51636002632|11111500263181969376|C5163677|id3tdc00|R
BDCLG318436259301181|800|20120207|83210|C5165216|12020708243184362593|C5165216|id3tdc00|R
BDCLG318436259354329|800|20120207|82822|C5165216|12020708243184362593|C5165216|id3tdc00|R
BDCLG318436259376615|800|20120207|82454|C5165216|12020708243184362593|C5165216|id3tdc00|R
BDCLG318436259392817|800|20120207|84028|C5165216|12020708243184362593|C5165216|id3tdc00|R
BDCLG318436259583814|800|20120207|101742|C5165216|12020710173184362595|C5165216|id3tdc00|R
BDCLG318596212171556|800|20111115|42447|C51636042432|11111504243185962121|C5163677|id3tdc00|R
BDCLG320540000370388|800|20040520|115222|RPTQTA00|04052011513205400003|I011321|iwdf9431|R
BDCLG320735000229252|503|20020419|113421|RPTQTA00|02041911323207350002|I019194|pswdf025|R
BDCLG320888000234588|800|20011218|145057|RABUCH11/01|01121814503208880002|OLBERT|pswdf025|R
BDCLG322124293126427|800|20111114|230655|C51636230632|11111423063221242931|C5163677|id3tdc00|R
BDCLG322192000613721|800|20021206|220715|VSWMR3|02120621313221920006|MICHALSKY|iwdfim01|R
BDCLG322192000626554|800|20021206|220401|VSWMR3|02120621313221920006|MICHALSKY|iwdfim01|R
BDCLG322192000658785|800|20021206|220120|VSWMR3|02120621313221920006|MICHALSKY|iwdfim01|R
BDCLG322192000671588|800|20021206|222103|VSWMR3|02120621313221920006|MICHALSKY|iwdfim01|R
BDCLG322306850418850|800|20010103|163239|RABUCH|20010103163223068504|OLBERT|pswdf025|R
BDCLG325903970407801|400|20001122|133400|REKOWS133259|20001122133259039704|REKOWSKIC|pswdf025|R
BDCLG327648297914199|800|20100708|123440|IT8|10070812343276482979|C5140081|id3tdc00|R
BDCLG330604362134868|800|20060724|201716|CREATEBP|06072420163306043621|MOLNAR|id3tdc00|R
BDCLG330888000776100|800|20011218|155243|RABUCH JA 04|01121815523308880007|OLBERT|pswdf025|R
BDCLG330892185588485|625|20050413|91350|HR      0913|05041309133308921855|HOF|iwdf9431|R
BDCLG334960880315018|800|20090423|191900|IT2011|09042319183349608803|WEISSANJA|id3tdc00|R
BDCLG335544313954263|800|20091201|143621|RPTSHF00|09120114353355443139|WEISSANJA|id3tdc00|R
BDCLG335544313975726|800|20091201|143754|RPTSHF00|09120114353355443139|WEISSANJA|id3tdc00|R
BDCLG338176000353282|800|20021206|200642|ZPUMPR3JOBS|02111118003381760003|MICHALSKY|iwdfim01|R
BDCLG338364706072372|800|20120206|113448|C5165216|12020611343383647060|C5165216|id3tdc00|R
BDCLG338924131836399|800|20111114|225637|C51636225533|11111422553389241318|C5163677|id3tdc00|R
BDCLG340820000936811|800|20050111|113716|SAPF181|05011111353408200009|WALTHERK|iwdf9431|R
BDCLG340820001035439|800|20050111|113711|SAPF181|05011111353408200010|WALTHERK|iwdf9431|R
BDCLG340820001180424|800|20050111|113706|SAPF181|05011111353408200011|WALTHERK|iwdf9431|R
BDCLG340820001206831|800|20050111|113700|SAPF181|05011111353408200012|WALTHERK|iwdf9431|R
BDCLG340820001330399|800|20050111|113655|SAPF181|05011111353408200013|WALTHERK|iwdf9431|R
BDCLG340820001436280|800|20050111|113649|SAPF181|05011111353408200014|WALTHERK|iwdf9431|R
BDCLG340820001570474|800|20050111|113643|SAPF181|05011111353408200015|WALTHERK|iwdf9431|R
BDCLG340820001630647|800|20050111|113637|SAPF181|05011111353408200016|WALTHERK|iwdf9431|R
BDCLG340820001755757|800|20050111|113759|SAPF181|05011111353408200017|WALTHERK|iwdf9431|R
BDCLG340820001899345|800|20050111|113804|SAPF181|05011111353408200018|WALTHERK|iwdf9431|R
BDCLG340820001958008|800|20050111|113809|SAPF181|05011111353408200019|WALTHERK|iwdf9431|R
BDCLG340820002055947|800|20050111|113815|SAPF181|05011111353408200020|WALTHERK|iwdf9431|R
BDCLG340820002145655|800|20050111|113820|SAPF181|05011111353408200021|WALTHERK|iwdf9431|R
BDCLG340820002255742|800|20050111|113824|SAPF181|05011111353408200022|WALTHERK|iwdf9431|R
BDCLG340820002373215|800|20050111|113829|SAPF181|05011111353408200023|WALTHERK|iwdf9431|R
BDCLG340820002488478|800|20050111|113836|SAPF181|05011111353408200024|WALTHERK|iwdf9431|R
BDCLG341306852477525|800|20010105|153425|RABUCH09F100|20010105153413068524|OLBERT|pswdf025|R
BDCLG344444000130797|800|20020429|142101|JOSWIG142034|02042914203444440001|JOSWIGT|pswdf025|R
BDCLG345784334545701|809|20090507|142443|MFC_DEMO_FB0|09050714243457843345|D030206|id3tdc00|R
BDCLG348176000466272|800|20021206|195605|ZPUMPR3JOBS|02111118003481760004|MICHALSKY|iwdfim01|R
BDCLG348584000119003|800|20031007|165811|RFSZIS00|03100716563485840001|BERETTONI|iwdfim01|R
BDCLG350680335521943|625|20050413|81119|HR      0629|05041306293506803355|HOF|iwdf9431|R
BDCLG350680335648208|625|20050413|104351|GNP 1043|05041310433506803356|HOF|iwdf9431|R
BDCLG350888002770791|800|20011218|162844|RABUCH12F100|01121816283508880027|OLBERT|pswdf025|R
BDCLG352712606277301|800|20090422|180841|IT2011|09042218043527126062|WEISSANJA|id3tdc00|R
BDCLG353603970168078|400|20001122|114207|REKOWS113536|20001122113536039701|REKOWSKIC|pswdf025|R
BDCLG353603970196690|400|20001122|133416|REKOWS113536|20001122113536039701|REKOWSKIC|pswdf025|R
BDCLG355124917887514|800|20111108|195646|KDSCHANGEINI|11110819563551249178|C5115457|id3tdc00|R
BDCLG355268766123356|800|20111115|22804|C51636021936|11111502193552687661|C5163677|id3tdc00|R
BDCLG355268766148858|800|20111115|22249|C51636021936|11111502193552687661|C5163677|id3tdc00|R
BDCLG355268766168496|800|20111115|22220|C51636021936|11111502193552687661|C5163677|id3tdc00|R
BDCLG358232402114997|800|20111115|12951|C51636012936|11111501293582324021|C5163677|id3tdc00|R
BDCLG358232402973396|800|20111116|200818|KDS1001B007|11111620073582324029|C5115457|id3tdc00|R
BDCLG360003710189258|400|20001031|134520|IT2011|20001031133600037101|SCHIRA|pswdf025|R
BDCLG360290000367453|513|20010506|93632|GCERTS|01050609353602900003|BEWLEYL|pswdf025|R
BDCLG360803710276246|400|20001031|134520|IT2011|20001031133608037102|SCHIRA|pswdf025|R
BDCLG361002000219634|625|20010730|44459|AWS 0444|01073004443610020002|HOF|pswdf025|R
BDCLG361303710359314|400|20001031|134520|IT2011|20001031133613037103|SCHIRA|pswdf025|R
BDCLG361803710406313|400|20001031|134319|IT2011|20001031133618037104|SCHIRA|pswdf025|R
BDCLG362603270132943|512|20001026|153645|ZTESTLBO02|20001026153626032701|BOODTSL|pswdf025|R
BDCLG362803710501153|400|20001031|134319|IT2011|20001031133628037105|SCHIRA|pswdf025|R
